COD_LOTE,FINCA,CAMPO,TIPOCORTE,VARIEDAD,MADURANTE,TIPO_MAD,TCH_REAL,cc_MAD,DIASMAD,EDAD,DIASSUP,MES_CORTE,CORE
16332,Sucuya,1633-2,MECANIZADA,RB84-5210,Si,TRINEXAPAC ,88.11426426,13.84565836,93,13.11637081,52,Ene,129.9
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,64,11.34122288,12,Ene,144.46
16332,Sucuya,1633-2,MECANIZADA,RB84-5210,Si,TRINEXAPAC ,88.11426426,13.84565836,94,13.14924392,53,Ene,122.07
57046,El Apante,B-25,MECANIZADA,CP72-2086,Si,GLIFOSATO ALEMAN,106.5619955,10.88568203,65,13.31360947,0,Ene,131.77
57046,El Apante,B-25,MECANIZADA,CP72-2086,Si,GLIFOSATO ALEMAN,106.5619955,10.88568203,65,13.31360947,0,Ene,131.67
57034,El Apante,B-11,MECANIZADA,CP72-2086,No,NO APLICADO,56.39670563,0,0,11.11111111,0,Ene,135.31
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,65,11.37409599,13,Ene,127.53
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,65,11.37409599,13,Ene,125.08
57046,El Apante,B-25,MECANIZADA,CP72-2086,Si,GLIFOSATO ALEMAN,106.5619955,10.88568203,66,13.34648258,0,Ene,137.69
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,65,11.37409599,13,Ene,134.84
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,65,11.37409599,13,Ene,130.58
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,65,11.37409599,13,Ene,135.98
93002,El Trapiche,TR-0102,MECANIZADA,CP72-2086,Si,TRINEXAPAC ,111.353366,12.84200067,65,11.37409599,13,Ene,137.51
